Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base,,
2020,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,28.26,28.26,28.26,,
2021,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,27.41,27.41,27.41,,
2022,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,26.3,26.3,26.3,,
2023,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,25.41,25.41,25.41,,
2024,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,24.59,24.46,24.59,,
2025,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,23.73,23.5,23.61,,
2026,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,22.93,22.62,22.71,,
2027,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,22.3,21.87,21.94,,
2028,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,21.67,21.14,21.21,,
2029,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,21.08,20.45,20.53,,
2030,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,20.51,19.75,19.86,,
2031,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,19.97,19.05,19.19,,
2032,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,19.44,18.38,18.54,,
2033,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,18.91,17.74,17.91,,
2034,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,18.39,17.13,17.31,,
2035,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,17.9,16.53,16.73,,
2036,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,17.42,15.96,16.16,,
2037,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,16.95,15.43,15.6,,
2038,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,16.5,14.92,15.1,,
2039,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,16.05,14.43,14.6,,
2040,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,15.61,13.95,14.13,,
2041,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,15.19,13.49,13.67,,
2042,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,14.78,13.04,13.23,,
2043,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,14.38,12.6,12.8,,
2044,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,13.99,12.18,12.38,,
2045,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,13.61,11.77,11.98,,
2046,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,13.25,11.38,11.59,,
2047,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,12.89,11,11.21,,
2048,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,12.55,10.63,10.84,,
2049,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,12.21,10.27,10.49,,
2050,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,11.88,9.92797,10.13,,
2051,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,11.55,9.59463,9.79542,,
2052,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,11.24,9.26994,9.46892,,
2053,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,10.93,8.95247,9.14966,,
2054,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,10.62,8.64446,8.83733,,
2055,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,10.33,8.34333,8.53292,,
2056,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,10.03,8.0505,8.23463,,
2057,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,9.74289,7.76089,7.94374,,
2058,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,9.4553,7.47712,7.65697,,
2059,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,9.17254,7.19663,7.37511,,
2060,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,8.89329,6.92159,7.09825,,
2061,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,8.61789,6.6515,6.82593,,
2062,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,8.34606,6.40811,6.57034,,
2063,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,8.07882,6.168,6.32774,,
2064,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,7.81625,5.9334,6.08996,,
2065,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,7.51591,5.70569,5.8574,,
2066,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,7.19978,5.48309,5.63054,,
2067,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,6.88485,5.26617,5.40872,,
2068,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,6.57091,5.0548,5.19227,,
2069,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,6.2612,4.82879,4.93928,,
2070,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,5.9582,4.56405,4.66849,,
2071,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,5.66133,4.29595,4.39599,,
2072,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,5.36923,4.0307,4.12745,,
2073,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,5.08323,3.76937,3.86267,,
2074,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,4.80207,3.51198,3.60245,,
2075,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,4.52574,3.25794,3.34619,,
2076,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,4.2589,3.00824,3.09322,,
2077,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,4.00189,2.76182,2.8441,,
2078,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.749,2.51947,2.59903,,
2079,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.66373,2.4442,2.52155,,
2080,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.58148,2.37257,2.44726,,
2081,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.50222,2.30335,2.37561,,
2082,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.42483,2.23656,2.30644,,
2083,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.34957,2.17219,2.2393,,
2084,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.27627,2.11008,2.17461,,
2085,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.20493,2.05024,2.11229,,
2086,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.13532,1.99261,2.05222,,
2087,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.06709,1.93692,1.99438,,
2088,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,3.00091,1.88299,1.93894,,
2089,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.93667,1.8313,1.88512,,
2090,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.8743,1.78179,1.83409,,
2091,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.81396,1.73401,1.78474,,
2092,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.75578,1.68813,1.73718,,
2093,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.69942,1.64439,1.69165,,
2094,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.64764,1.60348,1.65083,,
2095,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.59749,1.56468,1.61002,,
2096,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.54918,1.52806,1.57123,,
2097,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.50244,1.49367,1.53492,,
2098,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.45713,1.46086,1.50048,,
2099,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.41511,1.43071,1.46898,,
2100,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,2.37411,1.40236,1.43892,,
2019,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,221,221.3,221.3,,
2020,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,234.6,234.6,234.6,,
2021,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,215.9,215.9,215.9,,
2022,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,212.2,212.2,212.2,,
2023,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,200.8,200.8,200.8,,
2024,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,191,185.2,191,,
2025,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,178.6,174.1,184.1,,
2026,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,168.9,165.8,178.3,,
2027,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,168.3,165.6,182,,
2028,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,159.8,157.1,176.2,,
2029,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,148.1,144.8,166.4,,
2030,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,137,133,156.7,,
2031,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,127.3,122.3,148.2,,
2032,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,119.4,114.1,142,,
2033,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,113,107.7,137.2,,
2034,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,107.8,102.8,133.8,,
2035,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,103.3,98.83,131.2,,
2036,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,99.16,95.43,128.7,,
2037,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,95.24,93.45,126.1,,
2038,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,92.63,91.34,123.5,,
2039,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,90.1,89.14,120.7,,
2040,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,87.47,86.79,117.9,,
2041,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,84.88,84.28,115.3,,
2042,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,82.06,81.32,112.7,,
2043,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,79.94,78.79,110,,
2044,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,77.65,76.04,107.8,,
2045,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,75.15,73.36,105.8,,
2046,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,72.59,70.79,103.4,,
2047,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,70.34,68.41,100.8,,
2048,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,68.23,66.4,98.28,,
2049,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,66.37,64.4,96.05,,
2050,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,64.32,62.88,94.01,,
2051,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,62.75,61.62,92.19,,
2052,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,61.25,60.47,90.5,,
2053,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,59.9,58.11,88.93,,
2054,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,57.45,56.71,87.24,,
2055,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,56.16,55.06,85.41,,
2056,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,54.68,53.35,83.24,,
2057,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,53.16,51.69,81.31,,
2058,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,51.67,50.12,78.89,,
2059,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,50.28,48.69,76.78,,
2060,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,48.98,47.19,74.85,,
2061,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,47.75,45.6,72.85,,
2062,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,46.25,43.78,70.83,,
2063,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,44.84,42.12,68.77,,
2064,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,43.42,40.42,66.64,,
2065,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,41.97,38.7,64.45,,
2066,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,40.44,36.9,62.23,,
2067,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,38.81,35.08,60.07,,
2068,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,37.11,33.28,57.93,,
2069,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,35.38,31.51,55.82,,
2070,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,33.68,29.79,53.79,,
2071,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,32,28.11,51.88,,
2072,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,30.32,26.56,50.11,,
2073,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,28.67,25.11,48.49,,
2074,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,27.1,23.78,46.98,,
2075,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,25.65,20.96,45.53,,
2076,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,22.63,19.96,44.13,,
2077,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,21.34,18.89,42.74,,
2078,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,20,17.91,41.36,,
2079,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,18.73,17,39.99,,
2080,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,17.52,16.13,38.65,,
2081,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,16.38,15.3,37.36,,
2082,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,15.31,14.5,35.65,,
2083,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,14.32,13.7,34.57,,
2084,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,13.43,12.92,33.23,,
2085,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,12.63,12.19,32.01,,
2086,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,11.9,11.46,30.86,,
2087,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,11.21,10.74,29.76,,
2088,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,10.56,10.05,28.7,,
2089,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,9.93896,9.38387,27.67,,
2090,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,9.33809,8.76631,26.63,,
2091,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,8.77347,8.20131,25.56,,
2092,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,8.22936,7.66815,24.51,,
2093,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,7.70023,7.1685,23.5,,
2094,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,7.17813,6.7004,22.53,,
2095,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,6.67307,6.26052,21.61,,
2096,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,6.1904,5.85088,20.76,,
2097,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,5.74068,5.46796,19.99,,
2098,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,5.32666,5.10241,19.29,,
2099,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,4.94181,4.74759,18.64,,
2100,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI Medium,4.60133,4.42418,18.05,,
2019,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,10,9.8059,9.8059,,
2020,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,10.26,10.26,10.26,,
2021,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,9.33481,9.33481,9.33481,,
2022,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,9.06168,9.06173,9.06168,,
2023,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,8.46855,8.46854,8.46855,,
2024,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,7.95666,7.7174,7.95671,,
2025,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,7.35153,7.16664,7.57573,,
2026,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,6.86981,6.74532,7.25348,,
2027,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,6.76854,6.66064,7.31932,,
2028,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,6.3539,6.24976,7.00702,,
2029,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,5.8274,5.70218,6.54689,,
2030,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,5.33875,5.18516,6.10404,,
2031,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,4.91206,4.72436,5.7172,,
2032,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,4.5652,4.36691,5.4233,,
2033,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,4.28154,4.0871,5.19502,,
2034,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,4.04992,3.86652,5.02157,,
2035,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.84786,3.68614,4.87839,,
2036,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.66394,3.53032,4.74611,,
2037,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.49115,3.42961,4.61472,,
2038,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.36951,3.32633,4.48331,,
2039,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.25297,3.22235,4.34817,,
2040,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.13564,3.11507,4.21539,,
2041,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,3.02166,3.00458,4.09131,,
2042,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.90205,2.87967,3.97263,,
2043,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.80913,2.77251,3.85218,,
2044,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.7122,2.65964,3.74868,,
2045,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.60957,2.55117,3.65782,,
2046,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.50666,2.4482,3.55411,,
2047,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.41629,2.35369,3.44447,,
2048,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.33182,2.27302,3.33901,,
2049,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.25731,2.1942,3.2463,,
2050,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.17788,2.13286,3.16136,,
2051,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.11558,2.08163,3.08532,,
2052,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.05675,2.0347,3.01506,,
2053,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,2.00405,1.94778,2.94997,,
2054,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.91544,1.8945,2.88233,,
2055,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.86608,1.83344,2.81111,,
2056,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.81133,1.77108,2.72995,,
2057,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.75618,1.71139,2.65789,,
2058,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.70249,1.65525,2.57083,,
2059,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.65281,1.60412,2.49488,,
2060,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.60669,1.55162,2.4258,,
2061,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.56344,1.49648,2.35525,,
2062,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.51198,1.43465,2.28507,,
2063,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.46385,1.37826,2.21428,,
2064,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.41562,1.32105,2.14199,,
2065,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.36697,1.26351,2.06848,,
2066,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.31579,1.20373,1.99476,,
2067,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.26204,1.14367,1.92341,,
2068,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.20629,1.08454,1.85343,,
2069,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.14972,1.02662,1.7847,,
2070,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.09427,0.97054,1.71902,,
2071,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,1.0398,0.91603,1.65765,,
2072,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.98551,0.86553,1.60103,,
2073,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.93232,0.81877,1.5496,,
2074,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.88165,0.77601,1.5019,,
2075,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.83536,0.68451,1.45659,,
2076,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.73761,0.65257,1.41283,,
2077,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.69651,0.61848,1.36975,,
2078,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.65374,0.5873,1.32719,,
2079,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.61304,0.55822,1.28501,,
2080,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.57443,0.53067,1.24365,,
2081,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.53806,0.50442,1.2041,,
2082,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.50395,0.47882,1.15105,,
2083,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.47266,0.45361,1.11838,,
2084,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.44416,0.42897,1.07726,,
2085,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.41885,0.40569,1.04024,,
2086,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.39578,0.38259,1.00538,,
2087,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.37394,0.3597,0.97202,,
2088,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.35336,0.33758,0.93997,,
2089,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.33368,0.3162,0.90878,,
2090,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.31458,0.29642,0.87702,,
2091,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.2966,0.27831,0.84438,,
2092,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.27923,0.26119,0.81252,,
2093,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.26227,0.24512,0.78152,,
2094,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.24545,0.23003,0.75185,,
2095,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.2291,0.21581,0.72382,,
2096,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.21342,0.20254,0.69786,,
2097,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.19876,0.19011,0.67458,,
2098,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.18523,0.17819,0.65351,,
2099,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.17262,0.16656,0.63413,,
2100,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI Medium,0.16147,0.15593,0.61656,,
2019,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,90,90.26,90.26,,
2020,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,91.59,91.59,91.59,,
2021,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,92.77,92.77,92.77,,
2022,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,94.16,94.16,94.16,,
2023,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,96.28,96.28,96.28,,
2024,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,96.45,96.48,96.45,,
2025,EDPRICR,Primary education gross completion rate (percent) ,HDI Medium,95.66,95.77,95.7,,
